NODES,MPI_TASKS,OMP_THREADS,GRID_X,GRID_Y,MAX_TOTAL,AVG_TOTAL,MAX_COMP,AVG_COMP,MAX_COMM,AVG_COMM
1,1,1,10000,10000,46.957565,46.957565,46.957535,46.957535,0.000030,0.000030
1,1,1,10000,10000,47.313132,47.313132,47.313109,47.313109,0.000023,0.000023
1,1,1,10000,10000,47.037104,47.037104,47.037078,47.037078,0.000026,0.000026
1,1,2,10000,10000,24.481213,24.481213,24.481182,24.481182,0.000031,0.000031
1,1,2,10000,10000,24.494521,24.494521,24.494487,24.494487,0.000034,0.000034
1,1,2,10000,10000,24.361075,24.361075,24.361042,24.361042,0.000033,0.000033
1,1,4,10000,10000,12.219795,12.219795,12.219760,12.219760,0.000034,0.000034
1,1,4,10000,10000,12.267903,12.267903,12.267870,12.267870,0.000033,0.000033
1,1,4,10000,10000,12.430510,12.430510,12.430477,12.430477,0.000034,0.000034
1,1,8,10000,10000,7.771686,7.771686,7.771649,7.771649,0.000037,0.000037
1,1,8,10000,10000,7.809375,7.809375,7.809340,7.809340,0.000036,0.000036
1,1,8,10000,10000,7.794201,7.794201,7.794168,7.794168,0.000033,0.000033
1,1,16,10000,10000,6.659611,6.659611,6.659577,6.659577,0.000035,0.000035
1,1,16,10000,10000,6.663080,6.663080,6.663046,6.663046,0.000034,0.000034
1,1,16,10000,10000,6.666198,6.666198,6.666166,6.666166,0.000032,0.000032
1,1,32,10000,10000,3.491689,3.491689,3.491654,3.491654,0.000035,0.000035
1,1,32,10000,10000,3.484852,3.484852,3.484814,3.484814,0.000037,0.000037
1,1,32,10000,10000,3.491977,3.491977,3.491945,3.491945,0.000033,0.000033
1,1,64,10000,10000,1.946031,1.946031,1.945995,1.945995,0.000036,0.000036
1,1,64,10000,10000,1.909357,1.909357,1.909322,1.909322,0.000035,0.000035
1,1,64,10000,10000,1.908426,1.908426,1.908389,1.908389,0.000037,0.000037
1,1,128,10000,10000,1.217158,1.217158,1.217132,1.217132,0.000026,0.000026
1,1,128,10000,10000,1.216741,1.216741,1.216716,1.216716,0.000024,0.000024
1,1,128,10000,10000,1.218355,1.218355,1.218325,1.218325,0.000030,0.000030
