NODES,MPI_TASKS,OMP_THREADS,GRID_X,GRID_Y,MAX_TOTAL,AVG_TOTAL,MAX_COMP,AVG_COMP,MAX_COMM,AVG_COMM
4,16,8,5000,5000,3.337021,3.297513,3.314485,3.274709,0.025788,0.022804
4,16,8,5000,5000,3.355402,3.288943,3.331012,3.267085,0.024390,0.021857
4,16,8,5000,5000,3.330961,3.290811,3.309697,3.269842,0.022828,0.020969
4,32,8,2500,5000,1.693295,1.659140,1.673837,1.638120,0.024932,0.021020
4,32,8,2500,5000,1.684643,1.642477,1.662252,1.619825,0.025311,0.022652
4,32,8,2500,5000,1.707907,1.665355,1.684592,1.644861,0.024650,0.020495
4,48,8,2500,3334,1.128764,1.100510,1.116641,1.087599,0.017187,0.012911
4,48,8,2500,3334,1.135054,1.108287,1.122727,1.095623,0.014122,0.012665
4,48,8,2500,3334,1.127853,1.100366,1.112854,1.086376,0.017992,0.013990
4,64,8,2500,2500,0.854293,0.802915,0.818758,0.788062,0.081528,0.014853
4,64,8,2500,2500,0.880077,0.821538,0.834617,0.806804,0.078576,0.014734
4,64,8,2500,2500,0.874232,0.811559,0.820713,0.795907,0.078541,0.015651
