NODES,MPI_TASKS,OMP_THREADS,GRID_X,GRID_Y,MAX_TOTAL,AVG_TOTAL,MAX_COMP,AVG_COMP,MAX_COMM,AVG_COMM
1,1,1,20000,20000,184.094282,184.094282,184.094260,184.094260,0.000022,0.000022
1,1,1,20000,20000,183.052904,183.052904,183.052878,183.052878,0.000025,0.000025
1,1,1,20000,20000,183.467523,183.467523,183.467503,183.467503,0.000020,0.000020
1,1,2,20000,20000,94.016896,94.016896,94.016871,94.016871,0.000026,0.000026
1,1,2,20000,20000,94.858072,94.858072,94.858052,94.858052,0.000020,0.000020
1,1,2,20000,20000,95.626967,95.626967,95.626942,95.626942,0.000025,0.000025
1,1,4,20000,20000,49.625027,49.625027,49.624997,49.624997,0.000030,0.000030
1,1,4,20000,20000,49.221052,49.221052,49.221021,49.221021,0.000031,0.000031
1,1,4,20000,20000,49.126238,49.126238,49.126207,49.126207,0.000031,0.000031
1,1,8,20000,20000,29.653937,29.653937,29.653908,29.653908,0.000029,0.000029
1,1,8,20000,20000,29.951450,29.951450,29.951413,29.951413,0.000037,0.000037
1,1,8,20000,20000,29.690637,29.690637,29.690608,29.690608,0.000030,0.000030
1,1,16,20000,20000,22.828740,22.828740,22.828706,22.828706,0.000034,0.000034
1,1,16,20000,20000,23.229790,23.229790,23.229759,23.229759,0.000031,0.000031
1,1,16,20000,20000,23.074539,23.074539,23.074511,23.074511,0.000028,0.000028
1,1,32,20000,20000,14.511621,14.511621,14.511583,14.511583,0.000038,0.000038
1,1,32,20000,20000,14.423358,14.423358,14.423326,14.423326,0.000032,0.000032
1,1,32,20000,20000,14.729670,14.729670,14.729634,14.729634,0.000036,0.000036
1,1,64,20000,20000,18.297226,18.297226,18.297200,18.297200,0.000025,0.000025
1,1,64,20000,20000,18.379997,18.379997,18.379984,18.379984,0.000013,0.000013
1,1,64,20000,20000,17.920910,17.920910,17.920898,17.920898,0.000012,0.000012
1,1,128,20000,20000,8.015981,8.015981,8.015943,8.015943,0.000038,0.000038
1,1,128,20000,20000,8.170084,8.170084,8.170049,8.170049,0.000035,0.000035
1,1,128,20000,20000,8.116593,8.116593,8.116557,8.116557,0.000035,0.000035
