NODES,MPI_TASKS,OMP_THREADS,GRID_X,GRID_Y,MAX_TOTAL,AVG_TOTAL,MAX_COMP,AVG_COMP,MAX_COMM,AVG_COMM
4,16,8,25000,12500,41.574715,41.180023,41.487603,41.094177,0.091531,0.085846
4,16,8,25000,12500,41.380859,41.122808,41.297190,41.038070,0.091397,0.084738
4,16,8,25000,12500,41.418532,41.060759,41.328884,40.975645,0.093481,0.085114
4,32,8,25000,12500,41.367502,40.978243,41.278125,40.891991,0.091832,0.086253
4,32,8,25000,12500,41.266666,40.918033,41.179597,40.831889,0.091249,0.086144
4,32,8,25000,12500,41.244574,40.929124,41.156476,40.842204,0.092435,0.086920
4,48,8,25000,12500,41.264952,40.669651,41.179107,40.581096,0.097753,0.088554
4,48,8,25000,12500,41.193891,40.775680,41.106530,40.686884,0.098941,0.088796
4,48,8,25000,12500,41.323473,40.810919,41.235638,40.723323,0.102569,0.087596
4,64,8,25000,12500,41.385766,40.075879,41.298945,39.986442,0.105345,0.089437
4,64,8,25000,12500,41.284999,39.543743,41.197117,39.454194,0.097846,0.089550
4,64,8,25000,12500,41.371630,40.643720,41.283653,40.555963,0.097356,0.087757
