NODES,MPI_TASKS,OMP_THREADS,GRID_X,GRID_Y,MAX_TOTAL,AVG_TOTAL,MAX_COMP,AVG_COMP,MAX_COMM,AVG_COMM
1,1,1,100000,10000,470.736332,470.736332,470.736316,470.736316,0.000016,0.000016
1,1,1,100000,10000,471.839451,471.839451,471.839425,471.839425,0.000025,0.000025
1,1,1,100000,10000,469.935138,469.935138,469.935114,469.935114,0.000024,0.000024
1,1,2,100000,10000,245.520712,245.520712,245.520685,245.520685,0.000028,0.000028
1,1,2,100000,10000,244.336400,244.336400,244.336373,244.336373,0.000027,0.000027
1,1,2,100000,10000,244.900439,244.900439,244.900415,244.900415,0.000024,0.000024
1,1,4,100000,10000,126.949519,126.949519,126.949493,126.949493,0.000027,0.000027
1,1,4,100000,10000,128.301072,128.301072,128.301046,128.301046,0.000026,0.000026
1,1,4,100000,10000,128.276793,128.276793,128.276766,128.276766,0.000027,0.000027
1,1,8,100000,10000,88.715574,88.715574,88.715543,88.715543,0.000031,0.000031
1,1,8,100000,10000,88.738099,88.738099,88.738067,88.738067,0.000033,0.000033
1,1,8,100000,10000,88.865417,88.865417,88.865392,88.865392,0.000025,0.000025
1,1,16,100000,10000,72.443884,72.443884,72.443857,72.443857,0.000027,0.000027
1,1,16,100000,10000,72.272085,72.272085,72.272060,72.272060,0.000025,0.000025
1,1,16,100000,10000,72.369455,72.369455,72.369437,72.369437,0.000018,0.000018
1,1,32,100000,10000,36.526364,36.526364,36.526350,36.526350,0.000014,0.000014
1,1,32,100000,10000,36.577631,36.577631,36.577617,36.577617,0.000014,0.000014
1,1,32,100000,10000,36.704310,36.704310,36.704292,36.704292,0.000017,0.000017
1,1,64,100000,10000,19.436500,19.436500,19.436487,19.436487,0.000014,0.000014
1,1,64,100000,10000,19.330081,19.330081,19.330064,19.330064,0.000017,0.000017
1,1,64,100000,10000,19.347925,19.347925,19.347908,19.347908,0.000017,0.000017
1,1,128,100000,10000,11.368572,11.368572,11.368545,11.368545,0.000026,0.000026
1,1,128,100000,10000,11.362400,11.362400,11.362368,11.362368,0.000032,0.000032
1,1,128,100000,10000,11.408170,11.408170,11.408139,11.408139,0.000031,0.000031
