NODES,MPI_TASKS,OMP_THREADS,GRID_X,GRID_Y,MAX_TOTAL,AVG_TOTAL,MAX_COMP,AVG_COMP,MAX_COMM,AVG_COMM
4,16,8,12500,5000,8.169275,8.095954,8.133272,8.059211,0.041437,0.036743
4,16,8,12500,5000,8.148855,8.075238,8.114307,8.040514,0.038811,0.034724
4,16,8,12500,5000,8.182881,8.095590,8.148312,8.060862,0.039307,0.034728
4,32,8,6250,5000,4.113132,4.015667,4.091272,3.994701,0.022260,0.020966
4,32,8,6250,5000,4.149447,3.986637,4.131249,3.967712,0.020894,0.018925
4,32,8,6250,5000,4.130402,3.930193,4.112470,3.911208,0.021081,0.018985
4,48,8,8334,2500,2.754763,2.697553,2.736691,2.679839,0.022638,0.017713
4,48,8,8334,2500,2.721688,2.675885,2.705609,2.657134,0.024942,0.018750
4,48,8,8334,2500,2.741225,2.692268,2.719308,2.675125,0.022041,0.017143
4,64,8,6250,2500,2.004645,1.932880,1.991504,1.918718,0.016711,0.014163
4,64,8,6250,2500,2.054424,1.985379,2.039804,1.971342,0.016170,0.014036
4,64,8,6250,2500,2.077661,2.021110,2.063973,2.007398,0.016116,0.013712
