NODES,MPI_TASKS,OMP_THREADS,GRID_X,GRID_Y,MAX_TOTAL,AVG_TOTAL,MAX_COMP,AVG_COMP,MAX_COMM,AVG_COMM
1,1,1,10000,10000,46.721053,46.721053,46.721027,46.721027,0.000026,0.000026
1,1,1,10000,10000,46.818620,46.818620,46.818588,46.818588,0.000032,0.000032
1,1,1,10000,10000,46.573170,46.573170,46.573144,46.573144,0.000027,0.000027
1,1,2,10000,10000,24.617125,24.617125,24.617079,24.617079,0.000046,0.000046
1,1,2,10000,10000,24.482322,24.482322,24.482288,24.482288,0.000035,0.000035
1,1,2,10000,10000,24.662108,24.662108,24.662077,24.662077,0.000031,0.000031
1,1,4,10000,10000,12.251369,12.251369,12.251339,12.251339,0.000029,0.000029
1,1,4,10000,10000,12.285399,12.285399,12.285370,12.285370,0.000029,0.000029
1,1,4,10000,10000,12.372385,12.372385,12.372367,12.372367,0.000018,0.000018
1,1,8,10000,10000,7.666989,7.666989,7.666971,7.666971,0.000018,0.000018
1,1,8,10000,10000,7.700098,7.700098,7.700077,7.700077,0.000022,0.000022
1,1,8,10000,10000,7.721584,7.721584,7.721566,7.721566,0.000018,0.000018
1,1,16,10000,10000,6.647650,6.647650,6.647630,6.647630,0.000020,0.000020
1,1,16,10000,10000,6.637888,6.637888,6.637869,6.637869,0.000020,0.000020
1,1,16,10000,10000,6.653936,6.653936,6.653920,6.653920,0.000017,0.000017
1,1,32,10000,10000,3.446991,3.446991,3.446968,3.446968,0.000023,0.000023
1,1,32,10000,10000,3.440463,3.440463,3.440446,3.440446,0.000017,0.000017
1,1,32,10000,10000,3.441406,3.441406,3.441385,3.441385,0.000022,0.000022
1,1,64,10000,10000,1.852802,1.852802,1.852780,1.852780,0.000021,0.000021
1,1,64,10000,10000,1.851865,1.851865,1.851841,1.851841,0.000024,0.000024
1,1,64,10000,10000,1.868122,1.868122,1.868103,1.868103,0.000020,0.000020
1,1,128,10000,10000,1.154476,1.154476,1.154436,1.154436,0.000040,0.000040
1,1,128,10000,10000,1.166724,1.166724,1.166682,1.166682,0.000043,0.000043
1,1,128,10000,10000,1.169984,1.169984,1.169937,1.169937,0.000047,0.000047
