NODES,MPI_TASKS,OMP_THREADS,GRID_X,GRID_Y,MAX_TOTAL,AVG_TOTAL,MAX_COMP,AVG_COMP,MAX_COMM,AVG_COMM
4,16,8,12500,5000,8.157710,8.030780,8.120071,7.994760,0.039812,0.036020
4,16,8,12500,5000,8.155234,8.064031,8.119989,8.029277,0.038052,0.034754
4,16,8,12500,5000,8.180482,8.058765,8.144533,8.022817,0.039270,0.035948
4,32,8,12500,5000,8.193360,7.966041,8.156398,7.927220,0.044169,0.038821
4,32,8,12500,5000,8.137419,7.931131,8.101832,7.893710,0.042633,0.037421
4,32,8,12500,5000,8.178318,7.938430,8.138123,7.899645,0.042158,0.038785
4,48,8,12500,5000,8.194080,7.930821,8.156014,7.891855,0.044173,0.038965
4,48,8,12500,5000,8.196106,7.956760,8.159151,7.919066,0.045292,0.037694
4,48,8,12500,5000,8.155851,7.896171,8.120938,7.858069,0.047421,0.038102
4,64,8,12500,5000,8.172792,7.987126,8.131700,7.947912,0.045813,0.039214
4,64,8,12500,5000,8.176302,7.996695,8.138175,7.958655,0.046635,0.038040
4,64,8,12500,5000,8.196041,8.055646,8.144768,8.017871,0.053972,0.037776
